seed,DX,D_diff,time,error
11,0.11,25.0,0.32,0.3705598669268084
11,0.11,25.0,0.34,0.37141600698051486
11,0.11,25.0,0.36,0.3745253383849169
11,0.11,25.0,0.38,0.3810916756666504
11,0.11,25.0,0.4,0.3737561392796623
11,0.11,25.0,0.42,0.3673596445994195
11,0.11,25.0,0.44,0.35601545536696044
11,0.11,25.0,0.46,0.3519570269089569
11,0.11,25.0,0.48,0.3541659966006552
11,0.11,25.0,0.5,0.3726611910152768
11,0.11,25.0,0.52,0.3915543239367298
11,0.11,25.0,0.54,0.3866623841560872
11,0.11,25.0,0.56,0.38672593128905003
11,0.11,25.0,0.58,0.3880771089030583
11,0.11,25.0,0.6,0.37235412569028936
11,0.11,25.0,0.62,0.366734558902138
11,0.11,25.0,0.64,0.3722879369014496
11,0.11,25.0,0.66,0.3689052112744766
11,0.11,25.0,0.68,0.3589914995888168
11,0.11,25.0,0.7000000000000001,0.35753901020003764
11,0.11,25.0,0.72,0.35836377238675593
11,0.11,25.0,0.74,0.3564664995149472
11,0.11,30.0,0.0,0.4541361816229465
11,0.11,30.0,0.02,0.4473125250094602
11,0.11,30.0,0.04,0.4558384724916931
11,0.11,30.0,0.06,0.45795959676738046
11,0.11,30.0,0.08,0.45767858004629647
11,0.11,30.0,0.1,0.4543142467910357
11,0.11,30.0,0.12,0.44394692531067015
11,0.11,30.0,0.14,0.445013662107048
11,0.11,30.0,0.16,0.4413937092168779
11,0.11,30.0,0.18,0.439748816563535
11,0.11,30.0,0.2,0.4384971109005525
11,0.11,30.0,0.22,0.43863398081019617
11,0.11,30.0,0.24,0.44374902431924695
11,0.11,30.0,0.26,0.44517331940864135
11,0.11,30.0,0.28,0.44110622749271183
11,0.11,30.0,0.3,0.4291821542489989
11,0.11,30.0,0.32,0.4321204029613342
11,0.11,30.0,0.34,0.44497086982853834
11,0.11,30.0,0.36,0.44709159596216363
11,0.11,30.0,0.38,0.44646682735018994
11,0.11,30.0,0.4,0.45231424033909123
11,0.11,30.0,0.42,0.437201780958646
11,0.11,30.0,0.44,0.4344631481243133
11,0.11,30.0,0.46,0.4444084752209498
11,0.11,30.0,0.48,0.4443588442301331
11,0.11,30.0,0.5,0.45419566055026955
11,0.11,30.0,0.52,0.43210965490304337
11,0.11,30.0,0.54,0.4263591287522645
11,0.11,30.0,0.56,0.4329875466876379
11,0.11,30.0,0.58,0.430696594723685
11,0.11,30.0,0.6,0.4168224281604207
11,0.11,30.0,0.62,0.4155641308635789
11,0.11,30.0,0.64,0.4179691080255106
11,0.11,30.0,0.66,0.42532735984501846
11,0.11,30.0,0.68,0.4046085860452522
11,0.11,30.0,0.7000000000000001,0.42086848662134396
11,0.11,30.0,0.72,0.4219928205024053
11,0.11,30.0,0.74,0.42088779530647286
11,0.11,40.0,0.0,0.42049162347205493
11,0.11,40.0,0.02,0.43548852054200204
11,0.11,40.0,0.04,0.44981102880956286
11,0.11,40.0,0.06,0.429182806451569
11,0.11,40.0,0.08,0.42347820431105726
11,0.11,40.0,0.1,0.4142767476515708
11,0.11,40.0,0.12,0.4097762143459443
11,0.11,40.0,0.14,0.4106875622244701
11,0.11,40.0,0.16,0.4165093294608957
11,0.11,40.0,0.18,0.43215816241089067
11,0.11,40.0,0.2,0.43801800708352157
11,0.11,40.0,0.22,0.436457813053699
11,0.11,40.0,0.24,0.44115058267334156
11,0.11,40.0,0.26,0.44392201087472855
11,0.11,40.0,0.28,0.4543192889851285
11,0.11,40.0,0.3,0.4547855139957287
11,0.11,40.0,0.32,0.4493596155950547
11,0.11,40.0,0.34,0.4469077732144754
11,0.11,40.0,0.36,0.4468305582765163
11,0.11,40.0,0.38,0.4482091056628209
11,0.11,40.0,0.4,0.4479854952304205
11,0.11,40.0,0.42,0.4518808976940236
11,0.11,40.0,0.44,0.44954252527159394
11,0.11,40.0,0.46,0.44095931927324744
11,0.11,40.0,0.48,0.4482097620810708
11,0.11,40.0,0.5,0.45195780626463566
11,0.11,40.0,0.52,0.4514650641297174
11,0.11,40.0,0.54,0.4540814407151959
11,0.11,40.0,0.56,0.4602517753852965
11,0.11,40.0,0.58,0.45837055613814237
11,0.11,40.0,0.6,0.4660399988750974
11,0.11,40.0,0.62,0.4645649810788117
11,0.11,40.0,0.64,0.4663289772985047
11,0.11,40.0,0.66,0.4667966397940828
11,0.11,40.0,0.68,0.46617928378975354
11,0.11,40.0,0.7000000000000001,0.4654357259372901
11,0.11,40.0,0.72,0.4644941110456354
11,0.11,40.0,0.74,0.4645462566191612
11,0.11,50.0,0.0,0.44009904984055387
11,0.11,50.0,0.02,0.38310319112402635
11,0.11,50.0,0.04,0.3957109111282571
11,0.11,50.0,0.06,0.3994446180486862
11,0.11,50.0,0.08,0.41914348588705275
11,0.11,50.0,0.1,0.4448667518995115
11,0.11,50.0,0.12,0.4450514883057044
11,0.11,50.0,0.14,0.4480381453808641
11,0.11,50.0,0.16,0.45787199144588087
11,0.11,50.0,0.18,0.44753899908714195
11,0.11,50.0,0.2,0.43262681893491206
11,0.11,50.0,0.22,0.4336125485927404
11,0.11,50.0,0.24,0.4341780506461622
11,0.11,50.0,0.26,0.43965398675131984
11,0.11,50.0,0.28,0.43096278321752285
11,0.11,50.0,0.3,0.42969938635501664
11,0.11,50.0,0.32,0.42770396332739635
11,0.11,50.0,0.34,0.4287159647782701
11,0.11,50.0,0.36,0.43519327913241485
11,0.11,50.0,0.38,0.4393234095577729
11,0.11,50.0,0.4,0.44761185163671086
11,0.11,50.0,0.42,0.45803145789383926
11,0.11,50.0,0.44,0.4396885259243442
11,0.11,50.0,0.46,0.44202282746158583
11,0.11,50.0,0.48,0.4259698471195436
11,0.11,50.0,0.5,0.41730842837586174
11,0.11,50.0,0.52,0.41085610708049797
11,0.11,50.0,0.54,0.4042954927789375
11,0.11,50.0,0.56,0.41146912240240757
11,0.11,50.0,0.58,0.42551999697652554
11,0.11,50.0,0.6,0.4317110754355831
11,0.11,50.0,0.62,0.42954832075105714
11,0.11,50.0,0.64,0.43514234241912114
11,0.11,50.0,0.66,0.4172591326353221
11,0.11,50.0,0.68,0.4170065843666769
11,0.11,50.0,0.7000000000000001,0.4171097727676612
11,0.11,50.0,0.72,0.41556874185411874
11,0.11,50.0,0.74,0.42371089026271563
11,0.11,100.0,0.0,0.4485706803772333
11,0.11,100.0,0.02,0.4264571913366633
11,0.11,100.0,0.04,0.4078979486857624
11,0.11,100.0,0.06,0.4370265000532261
11,0.11,100.0,0.08,0.458200042069097
11,0.11,100.0,0.1,0.45436363479190905
11,0.11,100.0,0.12,0.44498296806375137
11,0.11,100.0,0.14,0.4327326527649422
11,0.11,100.0,0.16,0.43210928277005295
11,0.11,100.0,0.18,0.4433069607414228
11,0.11,100.0,0.2,0.442548670845218
11,0.11,100.0,0.22,0.4553640344261485
11,0.11,100.0,0.24,0.46150632927919827
