p,D,seed,DX,D_diff,time,error
0.0,0.0,12,0.08928571428571427,25.0,0.1,0.3235370502695083
0.0,0.0,12,0.08928571428571427,25.0,0.11,0.31812410585935785
0.0,0.0,12,0.08928571428571427,25.0,0.12,0.3080668807122047
0.0,0.0,12,0.08928571428571427,25.0,0.13,0.30000043447387287
0.0,0.0,12,0.08928571428571427,25.0,0.14,0.29316781989433566
0.0,0.0,12,0.08928571428571427,25.0,0.15,0.28548513039413553
0.0,0.0,12,0.08928571428571427,25.0,0.16,0.29116633085767435
0.0,0.0,12,0.08928571428571427,25.0,0.17,0.2950187231584877
0.0,0.0,12,0.08928571428571427,25.0,0.18,0.28515144604690756
0.0,0.0,12,0.08928571428571427,25.0,0.19,0.2791004857351038
0.0,0.0,12,0.08928571428571427,25.0,0.2,0.2889288926630293
0.0,0.0,12,0.08928571428571427,25.0,0.21,0.29912893280816694
0.0,0.0,12,0.08928571428571427,25.0,0.22,0.29453856044511506
0.0,0.0,12,0.08928571428571427,25.0,0.23,0.2925326524477497
0.0,0.0,12,0.08928571428571427,25.0,0.24,0.2904892518595091
0.0,0.0,12,0.08928571428571427,25.0,0.25,0.29643949308478357
0.0,0.0,12,0.08928571428571427,25.0,0.26,0.30005940371434764
0.0,0.0,12,0.08928571428571427,25.0,0.27,0.30209482154210665
0.0,0.0,12,0.08928571428571427,25.0,0.28,0.30565112469410555
0.0,0.0,12,0.08928571428571427,25.0,0.29,0.3026389540254042
0.0,0.0,12,0.08928571428571427,25.0,0.3,0.2983318906189303
0.0,0.0,12,0.08928571428571427,25.0,0.31,0.29655432896072875
0.0,0.0,12,0.08928571428571427,25.0,0.32,0.2947872155365041
0.0,0.0,12,0.08928571428571427,25.0,0.33,0.29765312589756715
0.0,0.0,12,0.08928571428571427,25.0,0.34,0.29892011598950163
0.0,0.0,12,0.08928571428571427,25.0,0.35000000000000003,0.2930859809968665
0.0,0.0,12,0.08928571428571427,25.0,0.36,0.2830177130690936
0.0,0.0,12,0.08928571428571427,25.0,0.37,0.27250321699941854
0.0,0.0,12,0.08928571428571427,25.0,0.38,0.2740717332564398
0.0,0.0,12,0.08928571428571427,25.0,0.39,0.27565968106063427
0.0,0.0,12,0.08928571428571427,25.0,0.4,0.2714255537394601
0.0,0.0,12,0.08928571428571427,25.0,0.41000000000000003,0.2679958031451933
0.0,0.0,12,0.08928571428571427,25.0,0.42,0.2629934942531432
0.0,0.0,12,0.08928571428571427,25.0,0.43,0.26373671610443034
0.0,0.0,12,0.08928571428571427,25.0,0.44,0.2625661342519821
0.0,0.0,12,0.08928571428571427,25.0,0.45,0.2543584206897146
0.0,0.0,12,0.08928571428571427,25.0,0.46,0.2540489416747427
0.0,0.0,12,0.08928571428571427,25.0,0.47000000000000003,0.2573954907785827
0.0,0.0,12,0.08928571428571427,25.0,0.48,0.26083632479413277
0.0,0.0,12,0.08928571428571427,25.0,0.49,0.2654960554134403
0.0,0.0,12,0.08928571428571427,25.0,0.5,0.26126282465952416
0.0,0.0,12,0.08928571428571427,25.0,0.51,0.25743330535354236
0.0,0.0,12,0.08928571428571427,25.0,0.52,0.2521872869731671
0.0,0.0,12,0.08928571428571427,25.0,0.53,0.2547873060898846
0.0,0.0,12,0.08928571428571427,25.0,0.54,0.25940149531578366
0.0,0.0,12,0.08928571428571427,25.0,0.55,0.2598187037184114
0.0,0.0,12,0.08928571428571427,25.0,0.56,0.2550162946714167
0.0,0.0,12,0.08928571428571427,25.0,0.5700000000000001,0.2594093327322417
0.0,0.0,12,0.08928571428571427,25.0,0.58,0.2615412582887522
0.0,0.0,12,0.08928571428571427,25.0,0.59,0.2608955862978018
0.0,0.0,12,0.08928571428571427,25.0,0.6,0.2614761482788456
0.0,0.0,12,0.08928571428571427,25.0,0.61,0.26113614280481934
0.0,0.0,12,0.08928571428571427,25.0,0.62,0.255885202297161
0.0,0.0,12,0.08928571428571427,25.0,0.63,0.256521414638271
0.0,0.0,12,0.08928571428571427,25.0,0.64,0.2516082681450577
0.0,0.0,12,0.08928571428571427,25.0,0.65,0.25318451077182846
0.0,0.0,12,0.08928571428571427,25.0,0.66,0.26236301712508053
0.0,0.0,12,0.08928571428571427,25.0,0.67,0.26551217113318165
0.0,0.0,12,0.08928571428571427,25.0,0.68,0.2682880161814571
0.0,0.0,12,0.08928571428571427,25.0,0.6900000000000001,0.26600518424613245
0.0,0.0,12,0.08928571428571427,25.0,0.7000000000000001,0.26181196636214543
0.0,0.0,12,0.08928571428571427,25.0,0.71,0.25611545286626375
0.0,0.0,12,0.08928571428571427,25.0,0.72,0.251306812654238
0.0,0.0,12,0.08928571428571427,25.0,0.73,0.24783822982942447
0.0,0.0,12,0.08928571428571427,25.0,0.74,0.2525369131739686
0.0,0.0,12,0.08928571428571427,25.0,0.75,0.2610200385164804
0.0,0.0,12,0.08928571428571427,30.0,0.0,0.375594176582203
0.0,0.0,12,0.08928571428571427,30.0,0.01,0.3586785211733808
0.0,0.0,12,0.08928571428571427,30.0,0.02,0.3503077696935993
0.0,0.0,12,0.08928571428571427,30.0,0.03,0.3478160156512093
0.0,0.0,12,0.08928571428571427,30.0,0.04,0.3568789153023998
0.0,0.0,12,0.08928571428571427,30.0,0.05,0.3480055067926577
0.0,0.0,12,0.08928571428571427,30.0,0.06,0.3300415182201764
0.0,0.0,12,0.08928571428571427,30.0,0.07,0.3233038126613361
0.0,0.0,12,0.08928571428571427,30.0,0.08,0.31063323873271337
0.0,0.0,12,0.08928571428571427,30.0,0.09,0.27783628227816315
0.0,0.0,12,0.08928571428571427,30.0,0.1,0.26645456494394043
0.0,0.0,12,0.08928571428571427,30.0,0.11,0.2641433220618828
0.0,0.0,12,0.08928571428571427,30.0,0.12,0.25527750099721236
0.0,0.0,12,0.08928571428571427,30.0,0.13,0.25356248123531155
0.0,0.0,12,0.08928571428571427,30.0,0.14,0.25488383222139416
0.0,0.0,12,0.08928571428571427,30.0,0.15,0.24965586018069735
0.0,0.0,12,0.08928571428571427,30.0,0.16,0.2366276377692432
0.0,0.0,12,0.08928571428571427,30.0,0.17,0.22818793391116884
0.0,0.0,12,0.08928571428571427,30.0,0.18,0.23168873150445696
0.0,0.0,12,0.08928571428571427,30.0,0.19,0.22629976004108868
0.0,0.0,12,0.08928571428571427,30.0,0.2,0.22246031429351854
0.0,0.0,12,0.08928571428571427,30.0,0.21,0.2204996483264184
0.0,0.0,12,0.08928571428571427,30.0,0.22,0.21855552433293185
0.0,0.0,12,0.08928571428571427,30.0,0.23,0.21901161886503148
0.0,0.0,12,0.08928571428571427,30.0,0.24,0.21305959320542558
0.0,0.0,12,0.08928571428571427,30.0,0.25,0.2130477573369906
