seed,DX,D_diff,time,error,mean
14,0.15,40.0,0.66,0.4057096946454857,0.3803725541318274
14,0.15,40.0,0.68,0.4014227217889214,0.3803725541318274
14,0.15,40.0,0.7000000000000001,0.3943788642464537,0.3803725541318274
14,0.15,40.0,0.72,0.3859985773546394,0.3803725541318274
14,0.15,40.0,0.74,0.3806891567776221,0.3803725541318274
14,0.15,50.0,0.0,0.3843620788867429,0.37744163702907485
14,0.15,50.0,0.02,0.3684023135191637,0.37744163702907485
14,0.15,50.0,0.04,0.341638150033089,0.37744163702907485
14,0.15,50.0,0.06,0.367621625912897,0.37744163702907485
14,0.15,50.0,0.08,0.3740199439769177,0.37744163702907485
14,0.15,50.0,0.1,0.3731604920003755,0.37744163702907485
14,0.15,50.0,0.12,0.3600976520397729,0.37744163702907485
14,0.15,50.0,0.14,0.3466435555793415,0.37744163702907485
14,0.15,50.0,0.16,0.3453801917066635,0.37744163702907485
14,0.15,50.0,0.18,0.3363944503422799,0.37744163702907485
14,0.15,50.0,0.2,0.3386286430490617,0.37744163702907485
14,0.15,50.0,0.22,0.3343527114549082,0.37744163702907485
14,0.15,50.0,0.24,0.321044746695569,0.37744163702907485
14,0.15,50.0,0.26,0.3171038783064201,0.37744163702907485
14,0.15,50.0,0.28,0.3375728709766355,0.37744163702907485
14,0.15,50.0,0.3,0.3520272827540441,0.37744163702907485
14,0.15,50.0,0.32,0.3613867108453789,0.37744163702907485
14,0.15,50.0,0.34,0.3577668534465192,0.37744163702907485
14,0.15,50.0,0.36,0.3544014894380979,0.37744163702907485
14,0.15,50.0,0.38,0.3563671101759156,0.37744163702907485
14,0.15,50.0,0.4,0.3529651420746663,0.37744163702907485
14,0.15,50.0,0.42,0.3486560885839002,0.37744163702907485
14,0.15,50.0,0.44,0.3373230579549956,0.37744163702907485
14,0.15,50.0,0.46,0.3296199818098502,0.37744163702907485
14,0.15,50.0,0.48,0.3319871585960066,0.37744163702907485
14,0.15,50.0,0.5,0.330849624464982,0.37744163702907485
14,0.15,50.0,0.52,0.3224299128742416,0.37744163702907485
14,0.15,50.0,0.54,0.3275812671054907,0.37744163702907485
14,0.15,50.0,0.56,0.3303860743828525,0.37744163702907485
14,0.15,50.0,0.58,0.3341630969653835,0.37744163702907485
14,0.15,50.0,0.6,0.3254033446626507,0.37744163702907485
14,0.15,50.0,0.62,0.3285216163302139,0.37744163702907485
14,0.15,50.0,0.64,0.3222142449041223,0.37744163702907485
14,0.15,50.0,0.66,0.3174002252454596,0.37744163702907485
14,0.15,50.0,0.68,0.3305121932159334,0.37744163702907485
14,0.15,50.0,0.7000000000000001,0.3340455846780805,0.37744163702907485
14,0.15,50.0,0.72,0.3263648421660053,0.37744163702907485
14,0.15,50.0,0.74,0.3379988498520954,0.37744163702907485
14,0.15,100.0,0.0,0.4024368062236877,0.41183497611122055
14,0.15,100.0,0.02,0.4398984620125198,0.41183497611122055
14,0.15,100.0,0.04,0.4350288395812098,0.41183497611122055
14,0.15,100.0,0.06,0.4184861699789139,0.41183497611122055
14,0.15,100.0,0.08,0.3996100566240252,0.41183497611122055
14,0.15,100.0,0.1,0.408578250342398,0.41183497611122055
14,0.15,100.0,0.12,0.4246739890768688,0.41183497611122055
14,0.15,100.0,0.14,0.4263793858263643,0.41183497611122055
14,0.15,100.0,0.16,0.4274818722554293,0.41183497611122055
14,0.15,100.0,0.18,0.4270943509381574,0.41183497611122055
14,0.15,100.0,0.2,0.4269025373015615,0.41183497611122055
14,0.15,100.0,0.22,0.4266582205619721,0.41183497611122055
14,0.15,100.0,0.24,0.4266204788032635,0.41183497611122055
14,0.15,100.0,0.26,0.4265799562911906,0.41183497611122055
14,0.15,100.0,0.28,0.4266682234739883,0.41183497611122055
14,0.15,100.0,0.3,0.4268093807550777,0.41183497611122055
14,0.15,100.0,0.32,0.4268063536848205,0.41183497611122055
14,0.15,100.0,0.34,0.4268279398144222,0.41183497611122055
14,0.15,100.0,0.36,0.4268565272258812,0.41183497611122055
14,0.15,100.0,0.38,0.4267545050866127,0.41183497611122055
14,0.15,100.0,0.4,0.4267858258510993,0.41183497611122055
